"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2005-01",31,3849279.48187814,713544.537204887,2639872.87674475,5426291.96231506,31,3308955.50003718,588509.789644472,2305226.3788832,4604086.79405224,31,3176636.71874943,NA,NA,NA,31,3807003.67966329,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-02",28,3780551.05404561,707390.33570147,2583312.85895756,5345497.42355972,28,3023835.60509722,558660.534575528,2076458.74104809,4258106.10408981,28,3022170.90473602,NA,NA,NA,28,3403083.08056104,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-03",31,3379521.66431421,593801.691081809,2364963.04099111,4684693.04067843,31,2807744.09492418,487881.296821364,1972817.32766679,3878907.03223199,31,3382444.15972391,NA,NA,NA,31,3867733.82734019,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-04",30,2634454.70604407,458518.084096358,1849962.45554094,3641313.96486314,30,2506039.02977139,438149.290423326,1756886.74942428,3468607.78833515,30,2904116.48763102,NA,NA,NA,30,2691480.40529268,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-05",31,2611873.59218286,451985.349662719,1837920.70453137,3603818.58712319,31,2376079.32888143,406165.621726392,1679370.92126488,3266381.49075224,31,909372.908771654,NA,NA,NA,31,716183.622919004,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-06",30,2595023.38861271,443801.792365721,1833807.38947649,3567868.34463152,30,2471383.80205048,420079.558619812,1750235.67929005,3391672.61828466,30,28003.7252661063,NA,NA,NA,30,28908.2696048627,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-07",31,2470776.06734605,422644.416569307,1745871.70579747,3397262.37398816,31,2292551.41227884,389027.421314983,1624552.83781951,3144671.87678949,31,1191027.62044668,NA,NA,NA,31,1337852.68379426,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-08",31,2144835.79215269,367866.38178919,1514122.0200257,2951454.31046733,31,1785041.31195586,314821.203763247,1247437.79578758,2477277.82809604,31,1796072.84156738,NA,NA,NA,31,1754899.71895179,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-09",30,2308591.11382951,399072.965982261,1625137.16237849,3184318.6719936,30,2066399.87942514,358636.725632156,1452548.6323757,2853707.65182504,30,1588530.04653719,NA,NA,NA,30,1553846.77753014,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2005-10",31,2201398.77658617,376346.875402737,1555849.32706761,3026348.08283675,31,1987288.31265581,347352.890123313,1393356.08935903,2750364.83458966,31,1123152.0602644,NA,NA,NA,31,1139165.11519067,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
