"date","Q_m3s","CODIGO_ESTACAO"
"2013-03-20",13.5735880105784,"ORIZ02900"
"2013-03-21",13.297043071219,"ORIZ02900"
"2013-03-22",13.662519324315,"ORIZ02900"
"2013-03-23",13.8189613977298,"ORIZ02900"
"2013-03-24",13.5498278886274,"ORIZ02900"
"2013-03-25",13.4900042709207,"ORIZ02900"
"2013-03-26",14.2785568979817,"ORIZ02900"
"2013-03-27",14.3339015249296,"ORIZ02900"
"2013-03-28",14.4151948333467,"ORIZ02900"
"2013-03-29",13.6407462708848,"ORIZ02900"
"2013-03-30",12.9570509737774,"ORIZ02900"
"2013-03-31",11.8346592366308,"ORIZ02900"
"2013-04-01",10.8674714213906,"ORIZ02900"
"2013-04-02",9.91613047537905,"ORIZ02900"
"2013-04-03",9.94597253554027,"ORIZ02900"
"2013-04-04",10.6903815505541,"ORIZ02900"
"2013-04-05",11.3196810425206,"ORIZ02900"
"2013-04-06",12.091402543161,"ORIZ02900"
"2013-04-07",12.9076730734051,"ORIZ02900"
"2013-04-08",13.0507116951381,"ORIZ02900"
"2013-04-09",13.1777797799262,"ORIZ02900"
"2013-04-10",12.6162432366862,"ORIZ02900"
"2013-04-11",11.8672016945455,"ORIZ02900"
"2013-04-12",10.9653969949764,"ORIZ02900"
"2013-04-13",10.4967163785471,"ORIZ02900"
"2013-04-14",10.3006670168884,"ORIZ02900"
"2013-04-15",10.274566232148,"ORIZ02900"
"2013-04-16",10.1493253747861,"ORIZ02900"
"2013-04-17",9.93597391805679,"ORIZ02900"
"2013-04-18",9.32927819546973,"ORIZ02900"
"2013-04-19",8.71556310968482,"ORIZ02900"
"2013-04-20",8.01249833208737,"ORIZ02900"
"2013-04-21",7.72473467758855,"ORIZ02900"
"2013-04-22",7.58775650634278,"ORIZ02900"
"2013-04-23",7.23292753393355,"ORIZ02900"
"2013-04-24",7.0702165444258,"ORIZ02900"
"2013-04-25",6.96927918108535,"ORIZ02900"
"2013-04-26",6.77027957288841,"ORIZ02900"
"2013-04-27",6.74121213595711,"ORIZ02900"
"2013-04-28",6.6280068626716,"ORIZ02900"
"2013-04-29",6.48192160048612,"ORIZ02900"
"2013-04-30",6.35653185461577,"ORIZ02900"
"2013-05-01",6.19471802748833,"ORIZ02900"
"2013-05-02",6.06506319593925,"ORIZ02900"
"2013-05-03",5.98799357914291,"ORIZ02900"
"2013-05-04",5.78491048209061,"ORIZ02900"
"2013-05-05",5.63709993307334,"ORIZ02900"
"2013-05-06",5.60361560056643,"ORIZ02900"
"2013-05-07",5.54253321813854,"ORIZ02900"
"2013-05-08",5.41683795028529,"ORIZ02900"
"2013-05-09",5.38706030075548,"ORIZ02900"
"2013-05-10",5.37538726592319,"ORIZ02900"
"2013-05-11",5.31651292182175,"ORIZ02900"
"2013-05-12",5.28153167510715,"ORIZ02900"
"2013-05-13",5.23385011954246,"ORIZ02900"
"2013-05-14",5.24870080995856,"ORIZ02900"
"2013-05-15",5.25792185246581,"ORIZ02900"
"2013-05-16",5.25185959154153,"ORIZ02900"
"2013-05-17",5.26207435243517,"ORIZ02900"
"2013-05-18",5.16577542542709,"ORIZ02900"
"2013-05-19",5.13167351324766,"ORIZ02900"
"2013-05-20",5.09738443456541,"ORIZ02900"
"2013-05-21",5.09812837888235,"ORIZ02900"
"2013-05-22",5.21023530382436,"ORIZ02900"
"2013-05-23",5.32563038697056,"ORIZ02900"
"2013-05-24",5.51547111712792,"ORIZ02900"
"2013-05-25",5.68566208561439,"ORIZ02900"
"2013-05-26",5.87755752497546,"ORIZ02900"
"2013-05-27",6.31816956277911,"ORIZ02900"
"2013-05-28",7.74336149816535,"ORIZ02900"
"2013-05-29",10.3971003645681,"ORIZ02900"
"2013-05-30",13.4225533870893,"ORIZ02900"
"2013-05-31",14.2223527086119,"ORIZ02900"
"2013-06-01",13.8339631083151,"ORIZ02900"
"2013-06-02",13.0848494965564,"ORIZ02900"
"2013-06-03",11.9530998030563,"ORIZ02900"
"2013-06-04",10.2869964057155,"ORIZ02900"
"2013-06-05",9.15795564903701,"ORIZ02900"
"2013-06-06",8.6052536037867,"ORIZ02900"
"2013-06-07",7.8469501837342,"ORIZ02900"
"2013-06-08",7.3931397441159,"ORIZ02900"
"2013-06-09",6.86626345591001,"ORIZ02900"
"2013-06-10",6.49049012449123,"ORIZ02900"
"2013-06-11",6.29551100016349,"ORIZ02900"
"2013-06-12",6.11589864538517,"ORIZ02900"
"2013-06-13",6.09803404299425,"ORIZ02900"
"2013-06-14",6.17714858998402,"ORIZ02900"
"2013-06-15",6.18084868556882,"ORIZ02900"
"2013-06-16",6.16537968777152,"ORIZ02900"
"2013-06-17",6.36748604625956,"ORIZ02900"
"2013-06-18",6.4684978077728,"ORIZ02900"
"2013-06-19",6.49003663047221,"ORIZ02900"
"2013-06-20",6.5152586062487,"ORIZ02900"
"2013-06-21",6.36091088979816,"ORIZ02900"
"2013-06-22",6.21488332458132,"ORIZ02900"
"2013-06-23",6.04854901915401,"ORIZ02900"
"2013-06-24",5.8568651405716,"ORIZ02900"
"2013-06-25",5.67173884174351,"ORIZ02900"
"2013-06-26",5.71848249829044,"ORIZ02900"
"2013-06-27",5.91933240098825,"ORIZ02900"
"2013-06-28",5.90172314780406,"ORIZ02900"
"2013-06-29",5.88059270765028,"ORIZ02900"
"2013-06-30",5.74231413666005,"ORIZ02900"
"2013-07-01",5.7558337333374,"ORIZ02900"
"2013-07-02",5.66617462642847,"ORIZ02900"
"2013-07-03",5.65423677329365,"ORIZ02900"
"2013-07-04",5.77042116543897,"ORIZ02900"
"2013-07-05",5.81329907694972,"ORIZ02900"
"2013-07-06",5.4994822042872,"ORIZ02900"
"2013-07-07",5.3400626508062,"ORIZ02900"
"2013-07-08",5.16886556042146,"ORIZ02900"
"2013-07-09",5.00478115129457,"ORIZ02900"
"2013-07-10",4.91937132561543,"ORIZ02900"
"2013-07-11",4.77838088843444,"ORIZ02900"
"2013-07-12",4.66079780876766,"ORIZ02900"
"2013-07-13",4.54490195176375,"ORIZ02900"
"2013-07-14",4.44150270073236,"ORIZ02900"
"2013-07-15",4.43057872463114,"ORIZ02900"
"2013-07-16",4.52422585927927,"ORIZ02900"
"2013-07-17",4.53816671234384,"ORIZ02900"
"2013-07-18",4.51828364153465,"ORIZ02900"
"2013-07-19",4.51387816646555,"ORIZ02900"
"2013-07-20",4.61332379093069,"ORIZ02900"
"2013-07-21",4.67107025535138,"ORIZ02900"
"2013-07-22",4.71069630831408,"ORIZ02900"
"2013-07-23",4.74511269161554,"ORIZ02900"
"2013-07-24",4.86766321151797,"ORIZ02900"
"2013-07-25",5.2390109672672,"ORIZ02900"
"2013-07-26",5.81521518953148,"ORIZ02900"
"2013-07-27",6.27239520660581,"ORIZ02900"
"2013-07-28",6.28052300731815,"ORIZ02900"
"2013-07-29",6.33252662272,"ORIZ02900"
"2013-07-30",5.87628877064725,"ORIZ02900"
"2013-07-31",5.34097605894695,"ORIZ02900"
"2013-08-01",4.98071538805652,"ORIZ02900"
"2013-08-02",4.80340578751614,"ORIZ02900"
"2013-08-03",4.6795466728475,"ORIZ02900"
"2013-08-04",4.47301094984634,"ORIZ02900"
"2013-08-05",4.24458748897386,"ORIZ02900"
"2013-08-06",4.12996657970901,"ORIZ02900"
"2013-08-07",4.08240557893407,"ORIZ02900"
"2013-08-08",4.03584780791498,"ORIZ02900"
"2013-08-09",4.03825496664521,"ORIZ02900"
"2013-08-10",4.03944429111499,"ORIZ02900"
"2013-08-11",4.02016266637807,"ORIZ02900"
"2013-08-12",4.00901341008705,"ORIZ02900"
"2013-08-13",3.92330751594648,"ORIZ02900"
"2013-08-14",3.82477292828658,"ORIZ02900"
"2013-08-15",3.73876338891305,"ORIZ02900"
"2013-08-16",3.69069679401546,"ORIZ02900"
"2013-08-17",3.70492691614782,"ORIZ02900"
"2013-08-18",3.7068636367816,"ORIZ02900"
"2013-08-19",3.70527196736273,"ORIZ02900"
"2013-08-20",3.72907856424122,"ORIZ02900"
"2013-08-21",3.72681758686857,"ORIZ02900"
"2013-08-22",3.7351598216402,"ORIZ02900"
"2013-08-23",3.68355442046894,"ORIZ02900"
"2013-08-24",3.62283629147702,"ORIZ02900"
"2013-08-25",3.57895646014463,"ORIZ02900"
"2013-08-26",3.55250692766286,"ORIZ02900"
"2013-08-27",3.47745869667996,"ORIZ02900"
"2013-08-28",3.36570322278763,"ORIZ02900"
"2013-08-29",3.2853234910474,"ORIZ02900"
"2013-08-30",3.23961986433996,"ORIZ02900"
"2013-08-31",3.21551622176132,"ORIZ02900"
"2013-09-01",3.22126558884721,"ORIZ02900"
"2013-09-02",3.20998777101726,"ORIZ02900"
"2013-09-03",3.1859040954285,"ORIZ02900"
"2013-09-04",3.20469578960975,"ORIZ02900"
"2013-09-05",3.25140454565629,"ORIZ02900"
"2013-09-06",3.24961478339981,"ORIZ02900"
"2013-09-07",3.23373991114331,"ORIZ02900"
"2013-09-08",3.22362634115349,"ORIZ02900"
"2013-09-09",3.22070396700685,"ORIZ02900"
"2013-09-10",3.21775521144302,"ORIZ02900"
"2013-09-11",3.18361083370116,"ORIZ02900"
"2013-09-12",3.16013000902263,"ORIZ02900"
"2013-09-13",3.09815033417566,"ORIZ02900"
"2013-09-14",3.05140780132571,"ORIZ02900"
"2013-09-15",2.99096356272612,"ORIZ02900"
"2013-09-16",2.96048051888206,"ORIZ02900"
"2013-09-17",3.08949155307282,"ORIZ02900"
"2013-09-18",3.5261485036932,"ORIZ02900"
"2013-09-19",3.89797753599963,"ORIZ02900"
"2013-09-20",4.0789488538228,"ORIZ02900"
"2013-09-21",4.04552730984053,"ORIZ02900"
"2013-09-22",3.98325784631758,"ORIZ02900"
"2013-09-23",3.88151374908819,"ORIZ02900"
"2013-09-24",3.76952597742087,"ORIZ02900"
"2013-09-25",3.65987990214481,"ORIZ02900"
"2013-09-26",3.44100966127411,"ORIZ02900"
"2013-09-27",3.28974641443425,"ORIZ02900"
"2013-09-28",3.23081709131961,"ORIZ02900"
"2013-09-29",3.25877482004295,"ORIZ02900"
"2013-09-30",3.30236820699336,"ORIZ02900"
"2013-10-01",3.77272945485822,"ORIZ02900"
"2013-10-02",4.30790189221757,"ORIZ02900"
"2013-10-03",5.30572647735326,"ORIZ02900"
"2013-10-04",6.60632666615391,"ORIZ02900"
"2013-10-05",7.63963879869017,"ORIZ02900"
"2013-10-06",8.27907205875195,"ORIZ02900"
"2013-10-07",8.13310912440931,"ORIZ02900"
"2013-10-08",7.17902016914493,"ORIZ02900"
"2013-10-09",6.13504896229732,"ORIZ02900"
"2013-10-10",5.40907682354649,"ORIZ02900"
"2013-10-11",5.08372753965632,"ORIZ02900"
"2013-10-12",4.59064494188208,"ORIZ02900"
"2013-10-13",4.15127665602498,"ORIZ02900"
"2013-10-14",3.78032275529002,"ORIZ02900"
"2013-10-15",3.59404096234803,"ORIZ02900"
"2013-10-16",3.58882607113044,"ORIZ02900"
"2013-10-17",3.74805125008005,"ORIZ02900"
"2013-10-18",4.47179145429886,"ORIZ02900"
